Year,Age,Male,Female
2025,0-4,9509972,9064557
2025,5-9,10114747,9629975
2025,10-14,10829348,10232233
2025,15-19,11754251,11074746
2025,20-24,11890276,11171530
2025,25-29,11711694,10929609
2025,30-34,12397038,11571066
2025,35-39,12447697,11662009
2025,40-44,11940276,11273405
2025,45-49,10981328,10474961
2025,50-54,10435592,10070521
2025,55-59,10447733,10269311
2025,60-64,10704337,10833204
2025,65-69,9737341,10322654
2025,70-74,7801742,8718733
2025,75-79,5835705,6860766
2025,80-84,3413839,4403296
2025,85-89,1694050,2552359
2025,90-94,673555,1235815
2025,95-99,159029,371868
2025,100+,17270,56358
2024,0-4,9490675,9058444
2024,5-9,10292851,9791325
2024,10-14,10909742,10300652
2024,15-19,11727116,11040789
2024,20-24,11682168,10960131
2024,25-29,11686741,10907859
2024,30-34,12583866,11760932
2024,35-39,12313307,11544730
2024,40-44,11854780,11212307
2024,45-49,10754797,10265424
2024,50-54,10598028,10239596
2024,55-59,10491668,10336471
2024,60-64,10776307,10915257
2024,65-69,9554799,10194228
2024,70-74,7557789,8458895
2024,75-79,5567297,6538489
2024,80-84,3234076,4240896
2024,85-89,1651225,2488165
2024,90-94,656531,1207533
2024,95-99,151309,359344
2024,100+,16449,53570
2023,0-4,9535485,9108193
2023,5-9,10425999,9902748
2023,10-14,11042088,10419078
2023,15-19,11651851,10957887
2023,20-24,11561136,10829281
2023,25-29,11757511,10968369
2023,30-34,12664679,11842304
2023,35-39,12187274,11431950
2023,40-44,11713141,11092942
2023,45-49,10562098,10085618
2023,50-54,10694946,10341409
2023,55-59,10637515,10501152
2023,60-64,10765751,10922575
2023,65-69,9338450,10006551
2023,70-74,7326113,8219174
2023,75-79,5296221,6221752
2023,80-84,3033322,4038109
2023,85-89,1597058,2422725
2023,90-94,639210,1179931
2023,95-99,143390,345706
2023,100+,15467,51166
